label,summary_path,training_time_total,training_time_shap,mse,rmse,mae,r2_weighted,r2_mean,band_0_19_r2,band_20_39_r2,band_40_59_r2,regularization_share_mean,shap_contribution_mean,tikhonov_contribution_mean,dominant_regularizer,dominant_shap_component,d1_mean_sq,d2_mean_sq,d1_error_sq,d2_error_sq
SHAP,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260319_210638_shap_only_full_20260319.json,189.22036623954773,54.92792248725891,0.010595665032426874,0.1029352467934423,0.048589899577733645,0.8371384504100543,0.5584470339420383,0.48189472086590956,0.6753091746396213,0.5181372063205837,0.011345063385924052,5.7599065171226965e-05,0.0,shap,consistency,0.0728855226406101,0.21761252542525483,0.008765601071486015,0.018632228416870664
SHAP+Tikhonov,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260319_190809_tikhonov_stronger_20260319.json,164.37207555770874,48.37771248817444,0.010602961937399005,0.10297068484476057,0.048903571884215964,0.8370262927260078,0.5540937733991591,0.4683250196570805,0.6787232204159797,0.5152330801244169,0.06531581608510464,5.539779825558829e-05,0.00042252122325268243,tikhonov,consistency,0.07023476087166743,0.20837871246358453,0.008848446550492977,0.018927404897174545
Tikhonov,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260319_210248_tikhonov_only_full_20260319.json,187.13793182373047,37.38377285003662,0.010629748121648899,0.10310066984093216,0.048673501849641296,0.8366145734557977,0.5559086242170115,0.47294348523955404,0.6776059185027107,0.5171764689087701,0.05807548790531001,0.0,0.0004228965174387393,tikhonov,sparsity,0.07000936875973181,0.20777459317971153,0.008868783523649457,0.018956136857022896
Vanilla,/home/lebedeffson/Code/bonner-shap-reconstruction/results/vanilla_full_20260319/training_summary_20260319_202741_vanilla_full_20260319.json,117.58770513534546,0.0,0.01132708950302932,0.10642880015780183,0.04652143058005105,0.8258960298233556,0.5496999001315808,0.49666730228770095,0.6558477233532641,0.4965846747537775,0.0,0.0,0.0,none,none,0.06356089899697778,0.18965362467177826,0.009003870055930513,0.01949105495903101
