active_components,dominant_regularizer,mae,mse,pred_d1_mean_sq,pred_d2_mean_sq,r2_mean,r2_weighted,regularization_share_last,regularization_share_mean,rmse,shap_contribution_last,shap_contribution_mean,shap_entropy,shap_gini,shap_loss_normalized_last,shap_loss_normalized_mean,shap_scale_factor_last,shap_scale_factor_mean,shap_top3,shap_top3_mass,summary_path,tikhonov_contribution_last,tikhonov_contribution_mean,training_time_shap,training_time_total,variant
"['consistency', 'sparsity', 'faithfulness', 'stability']",balanced,0.07410960006799235,0.039214864792308964,0.00506975882326375,0.005124870854024601,0.000720116533578639,0.3972446630305724,,,0.19802743444358653,,,0.8758124945976067,0.4154864416158446,,,,,"Q6,Q5,Q1",0.5901061013893232,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/vanilla_stage1/training_summary_20260319_190035_strong_components_vanilla_stage1.json,,,0.5092251300811768,0.667504072189331,vanilla_stage1
"['consistency', 'sparsity', 'faithfulness', 'stability']",tikhonov,0.07079277991388426,0.031536350873960575,0.007910435943464108,0.015196116159051606,0.22072706590946473,0.5152678990863613,0.0007782700955668245,0.0005179356215484065,0.1775847709516798,0.0,0.0,0.8766007602460171,0.4080927508276011,0.0,0.0,0.0,0.0,"Q6,Q5,Q3",0.6275038944338949,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/tikhonov_only/training_summary_20260319_190036_strong_components_tikhonov_only.json,1.7443821525375826e-05,1.22298317393188e-05,1.1946375370025635,1.3781368732452393,tikhonov_only
"['consistency', 'sparsity', 'faithfulness', 'stability']",shap,0.07085689586787429,0.0315393850925963,0.007961563902899824,0.01539574529056439,0.22062871682051052,0.5152212613767607,0.0006369875416945702,0.0011462390614583142,0.177593313760953,1.2628456170205027e-05,2.308574039489031e-05,0.8778260143904526,0.4071935760595069,0.0002525691204937175,0.0009481001030265662,550.2393454001523,1779.03280927072,"Q6,Q5,Q3",0.6246976111953868,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/shap_only/training_summary_20260319_190039_strong_components_shap_only.json,0.0,0.0,2.382829189300537,2.5586822032928467,shap_only
"['consistency', 'sparsity', 'faithfulness', 'stability']",shap,0.07080250334824299,0.03154405219366186,0.007903335707705786,0.015189368333918216,0.22078423090849614,0.5151495253121242,0.0014145288628831182,0.0016627376189997964,0.17760645313068402,1.2629079234708722e-05,2.308711465654293e-05,0.8778239374231386,0.40717551050497125,0.0002525815817837914,0.0009481360355857761,550.2741979634757,1779.135105714547,"Q6,Q5,Q3",0.6246765293708398,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/shap_tikhonov/training_summary_20260319_190041_strong_components_shap_tikhonov.json,1.7440484468049058e-05,1.2227259658743603e-05,2.3717379570007324,2.5480005741119385,shap_tikhonov
"['consistency', 'sparsity', 'faithfulness', 'stability']",shap,0.07082040123718526,0.031662468052053167,0.0077322494078948195,0.014880524155446313,0.22048351002071218,0.5133294045236122,0.014862894790854213,0.010910169189100104,0.17793950672083242,0.0002693961500578249,0.00021173307417484463,0.8859566038172678,0.40007930348204623,0.0026939614210277794,0.0029472612131697436,6062.24618894348,5728.628666618944,"Q6,Q5,Q3",0.600116932570604,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/shap_tikhonov_stronger/training_summary_20260319_190044_strong_components_shap_tikhonov_stronger.json,3.4336378060591714e-05,2.4193671409875603e-05,2.398280143737793,2.5638315677642822,shap_tikhonov_stronger
"['sparsity', 'faithfulness', 'stability']",shap,0.07066288967838094,0.03154020990462787,0.00784901945111666,0.01499116889994314,0.22071839497569415,0.5152085835349102,0.014827861892137697,0.010901471552726173,0.1775956359391409,0.00026925680382798117,0.00021168685379961976,0.8470260699488315,0.4438066903947906,0.0026925680227577685,0.002946781494732325,0.004044144030833083,0.0043038860130549614,"Q6,Q5,Q3",0.6622141461506926,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/strong_no_consistency/training_summary_20260319_190046_strong_components_strong_no_consistency.json,3.443434021998352e-05,2.4237272417622082e-05,1.697847604751587,1.8623249530792236,strong_no_consistency
"['consistency', 'faithfulness', 'stability']",shap,0.07088015491545746,0.03178008612177889,0.007607419070657347,0.014763288331532272,0.2190554622137419,0.5115215462120587,0.014899062586168048,0.01091516469003842,0.17826970051519941,0.0002695244824280962,0.00021176584993857733,0.8962510548350863,0.38309422942790583,0.002695244799057643,0.002947596632487451,9146.321041507395,8686.14446151494,"Q6,Q5,Q3",0.573844429006884,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/strong_no_sparsity/training_summary_20260319_190048_strong_components_strong_no_sparsity.json,3.424765770129549e-05,2.4166742654945968e-05,2.3109569549560547,2.493826150894165,strong_no_sparsity
"['consistency', 'sparsity', 'stability']",shap,0.07080413952433036,0.03156267346023824,0.00784542122641672,0.014979585836109343,0.22175207880393083,0.5148633055872959,0.014839560245455479,0.010906537106279902,0.1776588682285189,0.00026931362226605414,0.00021171215375943576,0.8843188469901189,0.40209704903936827,0.002693136191616456,0.00294703054203031,9075.982760808367,8475.904535568447,"Q6,Q5,Q3",0.6025719787767453,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/strong_no_faithfulness/training_summary_20260319_190050_strong_components_strong_no_faithfulness.json,3.439693597708053e-05,2.4223488857539147e-05,1.525862216949463,1.7143957614898682,strong_no_faithfulness
"['consistency', 'sparsity', 'faithfulness']",shap,0.07091697495280232,0.031680731430265244,0.0077124506395664875,0.014863924589250305,0.21968833958434558,0.5130486857516179,0.014859037523252645,0.010909729896438534,0.1779908183875372,0.00026941523246932776,0.00021174248225482492,0.884630467475453,0.4030149482336618,0.002694152280067404,0.0029473591467831283,8.525622862976308,10.983061393941718,"Q6,Q5,Q3",0.5966070416490411,/home/lebedeffson/Code/bonner-shap-reconstruction/results/ablation_study_strong_components_mini_20260319/strong_no_stability/training_summary_20260319_190053_strong_components_strong_no_stability.json,3.434515128901694e-05,2.4198847832318885e-05,2.3212788105010986,2.4893596172332764,strong_no_stability
