variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
task_only,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8912089832428388,-0.05938821925473222,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.01341046304381166,0.5391770873978317,,2.90164449113009,0.8206746896904034,1.3701754073470003,0.7969162997074829
gamma_x03_rho1,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8950340555620401,-0.05556314693553103,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.014550179575754404,0.5380373708658889,,2.9017510680014804,0.8203467115581868,1.3737393216196272,0.7962555710104618
gamma_x10_rho1,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8950340555620401,-0.05556314693553103,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.014550179575754404,0.5380373708658889,,2.9017510680014804,0.8203467115581868,1.3737393216196272,0.7962555710104618
gamma_x30_rho1,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8950340555620401,-0.05556314693553103,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.014550179575754404,0.5380373708658889,,2.9017510680014804,0.8203467115581868,1.3737393216196272,0.7962555710104618
gamma_x100_rho1,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8950340555620401,-0.05556314693553103,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.014550179575754404,0.5380373708658889,,2.9017510680014804,0.8203467115581868,1.3737393216196272,0.7962555710104618
