seed,method,k,bottom,top,roar_gap_top_minus_bottom
42,eaar_internal,1,0.0009922332869249928,0.0026470661841158094,0.0016548328971908166
42,eaar_internal,2,-0.0017810561063713592,-0.00456547421841802,-0.0027844181120466605
42,permutation,1,0.0009922332869249928,0.0015540501417243835,0.0005618168547993907
42,permutation,2,-0.0017810561063713592,-0.002380713273200552,-0.0005996571668291928
42,vanilla_gradient,1,0.0015540501417243835,-0.0024032793010997366,-0.00395732944282412
42,vanilla_gradient,2,-0.00456547421841802,0.010328573735650104,0.014894047954068124
43,eaar_internal,1,-0.007403291077073715,-0.008223151891888159,-0.0008198608148144437
43,eaar_internal,2,-0.003470331549492278,-0.00204524834532116,0.0014250832041711181
43,permutation,1,-0.007403291077073715,-0.008223151891888159,-0.0008198608148144437
43,permutation,2,-0.004391662295127774,-0.006419210174933299,-0.0020275478798055246
43,vanilla_gradient,1,-0.008978867771904153,-0.007490522836340774,0.0014883449355633793
43,vanilla_gradient,2,-0.0009112237348872787,-0.0070674008216214945,-0.006156177086734216
44,eaar_internal,1,-0.00025315137144032995,-0.0016529528030824192,-0.0013998014316420893
44,eaar_internal,2,0.002787115246680738,0.002961899112952082,0.00017478386627134412
44,permutation,1,-0.00025315137144032995,0.0027347588386126276,0.0029879102100529575
44,permutation,2,-0.00478603697589941,0.004777965267658613,0.009564002243558023
44,vanilla_gradient,1,0.0027347588386126276,-0.0022098894514988032,-0.004944648290111431
44,vanilla_gradient,2,0.004777965267658613,-0.0003506135669938404,-0.005128578834652453
