variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
div_cosine_mse,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.8950340555620401,-0.05556314693553103,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.014550179575754404,0.5380373708658889,,2.9017510680014804,0.8203467115581868,1.3737393216196272,0.7962555710104618
div_js,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.891791246189837,-0.058805956307734074,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.01341046304381166,0.5391770873978317,,2.8947739050199464,0.8206984258665456,1.3678358338514223,0.7974253477696408
div_mse,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.9144425075002555,-0.03615469499731553,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.01341046304381166,0.5391770873978317,,2.902815887477912,0.8204989165089218,1.3700873693544733,0.79698331668119
div_js_mse,3,0.9505972024975712,0.010861949337568866,0.9505972024975712,0.9222612281671605,-0.028335974330410536,0,3,1.0,0.0,0.5525875504416433,0.22803170640837275,0.01341046304381166,0.5391770873978317,,2.8993027024688534,0.8216892044444798,1.3661440773048152,0.797982770232699
