E_MeV,ISO_ref_Cf252,ISO_ref_Cf252_2,ISO_ref_AmBe,ISO_ref_AmB,t4-14-s.txt_1,t4-14-s.txt_2,t4-14-s.txt_3,t4-16-s.txt_1,t4-16-s.txt_2,t4-16-s.txt_3,t4-16-s.txt_4,t4-16-s.txt_5,t4-17-s.txt_1,t4-17-s.txt_2,t4-17-s.txt_3,t4-17-s.txt_4,t4-17-s.txt_5,t4-19-s.txt_1,t4-19-s.txt_2,t4-19-s.txt_3
0.125,3.26E-02,6.80E-02,2.21E-02,0.00E+00,0.131,0.0486,0.0852,0.157,0.095,0.106,0.0872,0.0274,0.0506,0.0917,0.119,0.0576,0.0526,0.0253,0.0575,0.0729
0.158,4.45E-02,6.34E-02,2.87E-02,0.00E+00,0.151,0.0511,0.081,0.223,0.109,0.115,0.0911,0.0276,0.0544,0.0983,0.119,0.0534,0.0459,0.0257,0.0566,0.0756
0.199,6.05E-02,5.91E-02,3.67E-02,0.00E+00,0.168,0.0535,0.0686,0.264,0.115,0.121,0.0914,0.0274,0.0542,0.106,0.178,0.0611,0.0496,0.025,0.0583,0.0761
0.251,8.22E-02,5.53E-02,4.65E-02,0.00E+00,0.177,0.0553,0.0885,0.23,0.118,0.133,0.0914,0.0276,0.0616,0.114,0.176,0.0719,0.055,0.0242,0.0633,0.0779
0.316,1.09E-01,4.56E-02,5.77E-02,0.00E+00,0.173,0.0561,0.0773,0.332,0.121,0.157,0.0896,0.0279,0.0558,0.11,0.104,0.0483,0.025,0.0248,0.0726,0.0855
0.398,1.45E-01,2.77E-02,7.06E-02,0.00E+00,0.151,0.0543,0.0669,0.369,0.148,0.167,0.0809,0.0259,0.0405,0.122,0.133,0.0212,0.0223,0.0257,0.0837,0.0935
0.501,1.89E-01,5.44E-02,8.48E-02,0.00E+00,0.117,0.0462,0.11,0.362,0.134,0.152,0.073,0.0186,0.0534,0.0796,0.118,0.0511,0.0214,0.0279,0.088,0.0984
0.63,2.41E-01,5.92E-02,9.61E-02,0.00E+00,0.0814,0.0309,0.126,0.359,0.123,0.177,0.0308,0.017,0.0387,0.0574,0.0738,0.0138,0.00781,0.0302,0.0945,0.103
0.794,3.00E-01,4.92E-02,1.06E-01,5.19E-02,0.0406,0.0181,0.0715,0.371,0.0871,0.15,0.0437,0.01,0.0283,0.0242,0.0452,0.0173,0,0.0323,0.103,0.106
1,3.59E-01,5.07E-02,1.18E-01,2.93E-02,0.0199,0.0129,0.0931,0.184,0.0846,0.11,0.0398,0.00453,0.0301,0.0238,0.0162,0.00388,0,0.0328,0.111,0.11
1.25,4.14E-01,7.32E-02,1.27E-01,1.18E-01,0.00209,0.00586,0.107,0.142,0.0418,0.0643,0.0228,0.00182,0.0261,0,0.00861,0.00363,0,0.0319,0.119,0.123
1.58,4.52E-01,8.53E-02,1.81E-01,4.85E-01,0.00536,0.00329,0.195,0.0651,0.0246,0.051,0.0131,0.00388,0.0233,0,0.00704,0,0,0.0306,0.13,0.134
1.99,4.62E-01,1.20E-01,2.43E-01,1.06E+00,0.00861,0.00217,0.00557,0.0475,0.0208,0.0337,0.0119,0.00452,0.0217,0,0.00271,0,0,0.0253,0.137,0.136
2.51,4.34E-01,1.18E-01,4.21E-01,1.40E+00,0.0039,0.00134,0,0.235,0.0419,0.171,0.00679,0.00242,0.0201,0,0.00476,0,0,0.0121,0.138,0.137
3.16,3.66E-01,7.69E-02,5.71E-01,8.43E-01,0.00812,0.00251,0,0.0787,0.0174,0.0173,0.00103,0.000173,0.0195,0,0.00285,0,0,0.00309,0.117,0.136
