label,summary_path,training_time_total,training_time_shap,mse,rmse,mae,r2_weighted,r2_mean,band_0_19_r2,band_20_39_r2,band_40_59_r2,regularization_share_mean,shap_contribution_mean,tikhonov_contribution_mean,nonnegativity_contribution_mean,negative_fraction,negative_count,dominant_regularizer,dominant_shap_component,d1_mean_sq,d2_mean_sq,d1_error_sq,d2_error_sq
V2.1 SHAP+Tikh,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260320_062903_v2_1_light_nonneg_20260320.json,231.05514478683472,71.21652626991272,0.010517707269720348,0.10255587389184663,0.04741065981839828,0.8383367066778863,0.5564255056108489,0.48434387147696356,0.6782632419982225,0.5066694033573607,0.06396805460648183,5.0057610062215946e-05,0.00035082169062784866,4.8652462915062715e-05,0.11288888888888889,508.0,tikhonov,consistency,0.06964005435152547,0.20688286434294512,0.008911754521799408,0.019164346609467822
SHAP-only,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260319_210638_shap_only_full_20260319.json,189.22036623954773,54.92792248725891,0.010595665032426874,0.1029352467934423,0.048589899577733645,0.8371384504100543,0.5584470339420383,0.48189472086590956,0.6753091746396213,0.5181372063205837,0.011345063385924052,5.7599065171226965e-05,0.0,0.0,,,shap,consistency,,,,
Tikhonov-only,/home/lebedeffson/Code/bonner-shap-reconstruction/results/training_summary_20260319_210248_tikhonov_only_full_20260319.json,187.13793182373047,37.38377285003662,0.010629748121648899,0.10310066984093216,0.048673501849641296,0.8366145734557977,0.5559086242170115,0.47294348523955404,0.6776059185027107,0.5171764689087701,0.05807548790531001,0.0,0.0004228965174387393,0.0,,,tikhonov,sparsity,,,,
Vanilla,/home/lebedeffson/Code/bonner-shap-reconstruction/results/vanilla_full_20260319/training_summary_20260319_202741_vanilla_full_20260319.json,117.58770513534546,0.0,0.01132708950302932,0.10642880015780183,0.04652143058005105,0.8258960298233556,0.5496999001315808,0.49666730228770095,0.6558477233532641,0.4965846747537775,0.0,0.0,0.0,0.0,,,none,none,0.06356089899697778,0.18965362467177826,0.009003870055930513,0.01949105495903101
