E_MeV,0in,2.5in,3in,3.5in,4in,4.5in,5in,6in,7in,8in,9.5in,10in,12in,15in,18in
3.16,0.000494,0.0352,0.124,0.285,0.51,0.76,1.07,1.57,2.02,2.16,2.22,2.18,1.77,1.11,0.751
3.98,0.000419,0.0263,0.0954,0.224,0.408,0.627,0.888,1.36,1.78,2.01,2.13,2.1,1.88,1.31,0.922
5.01,0.000344,0.0195,0.0721,0.177,0.33,0.514,0.736,1.16,1.55,1.87,2.03,2.03,1.98,1.55,1.1
6.3,0.00027,0.0152,0.0566,0.149,0.28,0.409,0.629,0.963,1.31,1.62,1.8,1.82,1.89,1.59,1.22
7.94,0.000197,0.011,0.0415,0.121,0.23,0.303,0.522,0.798,1.07,1.31,1.56,1.6,1.68,1.52,1.25
10.0,0.000139,0.00743,0.0281,0.0795,0.155,0.225,0.361,0.595,0.807,1.02,1.24,1.31,1.43,1.4,1.22
15.8,0.0001,0.00465,0.0177,0.0426,0.0839,0.14,0.204,0.353,0.525,0.68,0.869,0.915,1.05,1.09,1.08
25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
