E_MeV,0in,2in,Cd2in,3in,3.5in,4in,4.5in,5in,6in,7in,8in,10in,12in
0.000000001,6.29898587957242,0.907504762303264,0,0.580172723549559,0.485624074870068,0.4061301070786,0.337030301151429,0.277884701416177,0.18260251447685,0.11796834226606,0.0743897292160378,0.0283597433816044,0.0104617444086459
0.00000000125892541179417,6.23904819234336,0.923338148003041,0,0.59019217031647,0.493042262813614,0.414000796958944,0.342167578223168,0.280650734512277,0.185551723033501,0.120329549230163,0.0761327399112182,0.0288338248932068,0.0106722707256366
0.00000000158489319246111,6.12430005794545,0.944808988516156,0,0.603443534798328,0.504892627768418,0.422328170864225,0.349056313808132,0.287708426458115,0.188471656973169,0.121677854446647,0.0769765180144372,0.02909980569894,0.0108789495215381
0.00000000199526231496888,5.99404474072273,0.969416395134615,0,0.617011065143604,0.516481194005629,0.431188342798601,0.356062147861028,0.292992913032398,0.194697113379056,0.124535893481836,0.0781287669388963,0.0299730257026677,0.0111184158884608
0.00000000251188643150958,5.82618408694099,0.999962366912526,0,0.633028462721561,0.530674364736718,0.440635679907897,0.365447590065846,0.30170587546423,0.197953287205217,0.127937603975285,0.0803441026686601,0.0309723774847118,0.0115051753996904
0.00000000316227766016838,5.62975140698365,1.03313469004264,0,0.648088162115353,0.543307616591415,0.454274305751561,0.376146207946767,0.308643123271623,0.204809402502686,0.132022667670886,0.0833833934038571,0.0318637477509691,0.0117037409445994
0.00000000398107170553498,5.40787490277975,1.07382640764931,0,0.674691261194439,0.561699603815525,0.467922132189134,0.388616358363987,0.319193695232372,0.211243126897967,0.136080966002387,0.0855195203842406,0.0326920521280684,0.0121599231189606
0.00000000501187233627273,5.16465302070695,1.12320850441184,0,0.702413487059912,0.587984864195936,0.488715474423495,0.403230247162006,0.33167806474927,0.219016792333452,0.141789516314113,0.0894623930830651,0.0341032559501848,0.0122978483858329
0.00000000630957344480193,4.91024823494657,1.18057002534638,0,0.736326039790892,0.612710205699956,0.512584324276349,0.425029799802961,0.349007801585703,0.229142464139131,0.14834368484784,0.0937348143273578,0.0356216048704597,0.0132276102212197
0.00000000794328234724281,4.63588652457991,1.24405412331854,0,0.772052782357202,0.644342683976758,0.537605757620714,0.44652991493306,0.365546287345961,0.242049224558214,0.155837150377914,0.0990126095606167,0.03742207745669,0.0138967443236931
0.00000001,4.36338166134762,1.3209961809267,0,0.8184890162336,0.683471137036518,0.569867221953841,0.46926541889985,0.386820569716474,0.255472054653831,0.164186271141526,0.104445978472701,0.039853878068604,0.0146968614267257
