E_MeV,3in,4in,5in,6in,8in,9in,12in,18in,9inPb,12inPb,18inPb
0.0126,1.16,2.08,2.21,1.9,1.45,0.689,0.178,0.0,0.904,0.249,0.0
0.0158,1.12,1.97,2.18,1.84,1.58,0.647,0.172,0.0,0.849,0.233,0.0
0.02,1.15,1.97,2.27,1.89,1.67,0.614,0.173,0.0,0.823,0.225,0.0
0.0251,1.21,2.08,2.49,2.07,1.68,0.652,0.189,0.0,0.877,0.239,0.0
0.0316,1.27,2.24,2.72,2.31,1.61,0.749,0.215,0.0,1.0,0.275,0.0
0.0398,1.31,2.41,2.92,2.54,1.53,0.877,0.243,0.0,1.15,0.324,0.0
0.0501,1.31,2.5,2.97,2.71,1.49,0.974,0.262,0.00563,1.27,0.373,0.0053
0.0631,1.26,2.47,2.89,2.81,1.49,1.03,0.275,0.00695,1.32,0.41,0.00775
0.0794,1.13,2.3,2.67,2.85,1.49,1.05,0.289,0.00857,1.32,0.437,0.0105
0.1,0.954,2.05,2.38,2.86,1.48,1.05,0.31,0.0107,1.31,0.453,0.0135
0.126,0.803,1.83,2.17,2.87,1.47,1.07,0.338,0.0132,1.3,0.467,0.017
0.158,0.736,1.75,2.17,2.92,1.54,1.13,0.377,0.0161,1.35,0.484,0.0217
0.2,0.733,1.8,2.4,3.03,1.69,1.25,0.431,0.0192,1.49,0.526,0.0276
0.251,0.752,1.94,2.69,3.22,1.95,1.46,0.509,0.0233,1.71,0.604,0.0346
0.316,0.748,2.07,2.91,3.43,2.27,1.7,0.615,0.0291,1.98,0.729,0.0435
0.398,0.72,2.14,2.98,3.6,2.61,1.96,0.75,0.0388,2.26,0.894,0.0578
0.501,0.666,2.11,2.9,3.65,2.87,2.19,0.905,0.0553,2.48,1.09,0.0829
0.631,0.587,1.98,2.72,3.51,2.99,2.37,1.08,0.0841,2.64,1.3,0.123
0.794,0.481,1.75,2.46,3.15,2.91,2.49,1.26,0.132,2.73,1.51,0.183
1.0,0.368,1.48,2.13,2.63,2.68,2.58,1.45,0.209,2.75,1.72,0.265
1.26,0.276,1.19,1.75,2.16,2.41,2.64,1.65,0.326,2.75,1.92,0.381
1.58,0.225,0.939,1.39,1.92,2.27,2.75,1.88,0.481,2.79,2.12,0.528
2.0,0.195,0.736,1.14,1.96,2.35,2.9,2.13,0.662,2.9,2.33,0.713
