mean_std,max_std,cv,ci_width,coefficient_of_variation,mean_ci_width,max_uncertainty,mean_uncertainty,error_percent
3.8511039747390896e-05,0.0002155337278963998,0.0020572764333337545,0.00012666692782659084,0.0020572764333337545,0.00012666692782659084,0.0002155337278963998,3.8511039747390896e-05,0.5
7.701866707066074e-05,0.000430968648288399,0.004114507231861353,0.0002533362421672791,0.004114507231861353,0.0002533362421672791,0.000430968648288399,7.701866707066074e-05,1.0
0.00011560423445189372,0.0006464413600042462,0.006176910363137722,0.0003798236430156976,0.006176910363137722,0.0003798236430156976,0.0006464413600042462,0.00011560423445189372,1.5
0.00015409375191666186,0.000861864595208317,0.008232596330344677,0.000505589647218585,0.008232596330344677,0.000505589647218585,0.000861864595208317,0.00015409375191666186,2.0
0.00019268180767539889,0.001077398657798767,0.010294569656252861,0.0006318173254840076,0.010294569656252861,0.0006318173254840076,0.001077398657798767,0.00019268180767539889,2.5
0.0002313046861672774,0.0012929554795846343,0.012358550913631916,0.0007574318442493677,0.012358550913631916,0.0007574318442493677,0.0012929554795846343,0.0002313046861672774,3.0
0.00026995170628651977,0.0015084347687661648,0.014423978514969349,0.000882867316249758,0.014423978514969349,0.000882867316249758,0.0015084347687661648,0.00026995170628651977,3.5
0.00030860325205139816,0.0017236765706911683,0.01648980751633644,0.0010089526185765862,0.01648980751633644,0.0010089526185765862,0.0017236765706911683,0.00030860325205139816,4.0
0.0003472309617791325,0.00193845818284899,0.018554531037807465,0.0011357110925018787,0.018554531037807465,0.0011357110925018787,0.00193845818284899,0.0003472309617791325,4.5
0.00038579857209697366,0.002152498811483383,0.020616227760910988,0.001261391444131732,0.020616227760910988,0.001261391444131732,0.002152498811483383,0.00038579857209697366,5.0
